# Logfile created on 2018-01-29 20:39:43 +1100 by logger.rb/54362
I, [2018-01-29T20:39:43.916148 #38957]  INFO -- : (0.002410s) INSERT INTO `schema_migrations` (`filename`) VALUES ('000032_create_latest_verifications.rb')
I, [2018-01-29T20:39:43.920035 #38957]  INFO -- : (0.003612s) INSERT INTO `schema_migrations` (`filename`) VALUES ('000033_create_config_table.rb')
I, [2018-01-29T20:39:43.923179 #38957]  INFO -- : (0.002861s) INSERT INTO `schema_migrations` (`filename`) VALUES ('000034_create_index_on_consumer_version_order.rb')
I, [2018-01-29T20:39:43.935055 #38957]  INFO -- : (0.011499s) INSERT INTO `schema_migrations` (`filename`) VALUES ('000035_create_index_on_names.rb')
I, [2018-01-29T20:39:43.940162 #38957]  INFO -- : (0.004780s) INSERT INTO `schema_migrations` (`filename`) VALUES ('000036_create_webhook_execution.rb')
I, [2018-01-29T20:39:43.941627 #38957]  INFO -- : (0.000609s) SELECT `filename` FROM `schema_migrations` ORDER BY `filename`
I, [2018-01-29T20:39:44.009917 #38957]  INFO -- : Begin applying migration 000037_create_labels_table.rb, direction: up
I, [2018-01-29T20:39:44.031192 #38957]  INFO -- : (0.020276s) CREATE TABLE `labels` (`name` varchar(255) NOT NULL, `pacticipant_id` integer NOT NULL REFERENCES `pacticipants`, `created_at` timestamp NOT NULL, `updated_at` timestamp NOT NULL, CONSTRAINT `labels_pk` PRIMARY KEY (`pacticipant_id`, `name`))
I, [2018-01-29T20:39:44.055943 #38957]  INFO -- : (0.023772s) INSERT INTO `schema_migrations` (`filename`) VALUES ('000037_create_labels_table.rb')
I, [2018-01-29T20:39:44.056123 #38957]  INFO -- : Finished applying migration 000037_create_labels_table.rb, direction: up, took 0.046205 seconds
I, [2018-01-29T20:39:44.056173 #38957]  INFO -- : Begin applying migration 000038_create_triggered_webhooks_table.rb, direction: up
I, [2018-01-29T20:39:44.062249 #38957]  INFO -- : (0.004939s) CREATE TABLE `triggered_webhooks` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `trigger_uuid` varchar(255) NOT NULL, `trigger_type` varchar(255) NOT NULL, `pact_publication_id` integer NOT NULL REFERENCES `pact_publications`, `webhook_id` integer REFERENCES `webhooks`, `webhook_uuid` varchar(255) NOT NULL, `consumer_id` integer NOT NULL REFERENCES `pacticipants`, `provider_id` integer NOT NULL REFERENCES `pacticipants`, `status` varchar(255) NOT NULL, `created_at` timestamp NOT NULL, `updated_at` timestamp NOT NULL)
I, [2018-01-29T20:39:44.068727 #38957]  INFO -- : (0.005931s) CREATE UNIQUE INDEX `uq_triggered_webhook_wi` ON `triggered_webhooks` (`webhook_id`, `trigger_uuid`)
I, [2018-01-29T20:39:44.076080 #38957]  INFO -- : (0.006824s) CREATE UNIQUE INDEX `uq_triggered_webhook_ppi_wi` ON `triggered_webhooks` (`pact_publication_id`, `webhook_id`, `trigger_uuid`)
I, [2018-01-29T20:39:44.091165 #38957]  INFO -- : (0.014392s) INSERT INTO `schema_migrations` (`filename`) VALUES ('000038_create_triggered_webhooks_table.rb')
I, [2018-01-29T20:39:44.091342 #38957]  INFO -- : Finished applying migration 000038_create_triggered_webhooks_table.rb, direction: up, took 0.035148 seconds
I, [2018-01-29T20:39:44.091415 #38957]  INFO -- : Begin applying migration 000039_add_triggered_webhooks_fk_to_execution.rb, direction: up
I, [2018-01-29T20:39:44.092703 #38957]  INFO -- : (0.000087s) PRAGMA foreign_keys = 0
I, [2018-01-29T20:39:44.092935 #38957]  INFO -- : (0.000049s) BEGIN
I, [2018-01-29T20:39:44.093938 #38957]  INFO -- : (0.000495s) ALTER TABLE `webhook_executions` ADD COLUMN `triggered_webhook_id` integer REFERENCES `triggered_webhooks`
I, [2018-01-29T20:39:44.095083 #38957]  INFO -- : (0.000739s) PRAGMA table_info('webhook_executions')
I, [2018-01-29T20:39:44.095630 #38957]  INFO -- : (0.000308s) PRAGMA foreign_key_list('webhook_executions')
I, [2018-01-29T20:39:44.095905 #38957]  INFO -- : (0.000100s) PRAGMA index_list('webhook_executions')
I, [2018-01-29T20:39:44.096891 #38957]  INFO -- : (0.000061s) SAVEPOINT autopoint_1
E, [2018-01-29T20:39:44.098661 #38957] ERROR -- : SQLite3::SQLException: no such table: webhook_executions_backup0: SELECT NULL AS 'nil' FROM `webhook_executions_backup0` LIMIT 1
I, [2018-01-29T20:39:44.099703 #38957]  INFO -- : (0.000200s) ROLLBACK TO SAVEPOINT autopoint_1
I, [2018-01-29T20:39:44.101029 #38957]  INFO -- : (0.000911s) PRAGMA index_list('webhook_executions')
I, [2018-01-29T20:39:44.108480 #38957]  INFO -- : (0.001061s) ALTER TABLE `webhook_executions` RENAME TO `webhook_executions_backup0`
